store_name,company,revenue_monthly,amazon_start,phone,directors,email,province,category,subcategory,seller_url,mercantile_registry,business_address,follow_up,action_label,status,import_email
EUROPEAN TOOLS,"PATNER IBERIA, S.L.",246168.16,,+34 876 00 87 57,VALLEJO ARENAZ PATRICIA NATIVIDAD (Apoderado solidario); VALLEJO ARENAZ LUIS JAVIER (Administrador único); NAVAS GUTIERREZ MANUEL (Apoderado solidario); ORTEGA BELLE JOSE IGNACIO (Administrador único),mkamazon@patneriberia.es,ZARAGOZA,Bricolaje y herramientas,Llaves Allen,https://www.amazon.es/sp?seller=A20FPJ7ZUTLVQJ,ESB99282477,"Avenida Manuel Rodríguez Ayuso 114 Centro Emp. miralbueno, Zaragoza, Zaragoza, 50012, ES",,,pendiente,alejandro@libertyseller.com
Hivital,Hivital Labs SL,244193.14,,636958877.0,FORCADA ARAGAY FERNANDO (Administrador único),ferran@hivital.com,BARCELONA,Salud y cuidado personal,"Vitaminas, minerales y suplementos en medicamentos, remedios y suplementos dietéticos",https://www.amazon.es/sp?seller=AN0TMKFZETHT6,B67259465,"Calle Murcia 26-28 1º 4ª, Barcelona, Barcelona, 08027, ES",,,pendiente,alejandro@libertyseller.com
ALTAUDIA,DISTRIBUCIONES ESCUDERO FIJO SLU,238155.69,,+34963461388,PUYOL FERRER CARLOS ADOLFO (Apoderado); ESCUDERO FIJO FRANCISCO JAVIER (Socio único),ecommerce@escuderofijo.com,VALENCIA,Electrónica,Televisores,https://www.amazon.es/sp?seller=A2LAK1YZ0DE3FC,B96153564,"Ctra. Aldaia-Xirivella, 45, Aldaia, Valencia, 46960, ES",,,pendiente,alejandro@libertyseller.com
WeProPadel,WE PRO PADEL SL,231701.5,,+34605669008,MORATA GARCIA ANGEL. (Apoderado); CARCELES MIÑANO FRANCISCO JOSE. (Apoderado); MARTINEZ AVIAL ROMERO RAFAEL. (Representante); CASTILLO MARIN MARIA VICTORIA. (Apoderado); SAN JOSE MARTINDAVID. (Representante); BACKSPIN CAPITAL INVESTMENTS SL (Socio único); OLIVE GORGUES ALFONSO. (Representante),info@wepropadel.com,MADRID,Deportes y aire libre,Palas de pádel,https://www.amazon.es/sp?seller=A1PF3GWGBCMUZM,B56270879,"C/ MONASTERIO DE EL PAULAR 2, Madrid, Madrid, 28049, ES",,,pendiente,alejandro@libertyseller.com
LUXIABED,"Fashion Sleephome Zone, sl",227707.13,,+34633379189,HERNANDEZTORTOSA SEBASTIAN (Socio único),seller.luxiabed@gmail.com,ALICANTE,Hogar y cocina,Colchones para cama,https://www.amazon.es/sp?seller=A2KXGW4FYNR8Y9,B56388606,"Calle Murillo, 80 bajo, Elda, Alicante, 03600, ES",,,pendiente,alejandro@libertyseller.com
CARDEL,Cardel Consultores SL,219180.61,,+34643208312,DELGADO PAREDES IGNACIO. (Apoderado); DELGADO SUAREZ CARLOS (Administrador único),marketplaces@cardelconsultores.com,MADRID,Electrónica,Altavoces,https://www.amazon.es/sp?seller=A23RWR9RHDMRG0,B83904896,"Calle Faisan 5, Las Rozas, Madrid, 28230, ES",,,pendiente,alejandro@libertyseller.com
VentadeColchones,Compra Ideal S.L,217844.78,,+34677900000,ALCAZAR IZQUIERDO JUAN JOSE (Apoderado); LLANOS BOCHARAN JESUS (Apoderado solidario); LLANOS OTERO CRISTINA (Apoderado solidario); LLANOS OTERO JESUS DAVID (Administrador solidario),info@ventadecolchones.com,CIUDAD REAL,Hogar y cocina,Colchones para cama,https://www.amazon.es/sp?seller=A2EUV34CVQXIVK,B13553409,"CM-4174 km 12, Pozuelo de Calatrava, Ciudad Real, 13179, ES",,,pendiente,alejandro@libertyseller.com
Tienda Magic,MAGIC TALAVERA SHOP CENTER SL,215547.9,,+34641248050,JIN HAI (Administrador único); JIN YONG (Administrador único),info@magicstore.es,TOLEDO,Hogar y cocina,Animales de peluche,https://www.amazon.es/sp?seller=A23SAKIS1WM96V,B45831658,"Avenida Gregorio Ruiz 4, TALAVERA DE LA REINA, TOLEDO, 45600, ES",,,pendiente,alejandro@libertyseller.com
Juguetes Abracadabra,IMAGINESHOP S.L.,212354.07,,+34 672 38 15 78,RODRIGUEZ BARRACHINA JORGE. (Apoderado); CASTILLO CAMPOS PEDRO JULIO (Administrador solidario); CASTELLO PEIDRO JOSE-BALTASAR (Administrador solidario),seller.ama@juguetesabracadabra.es,ZARAGOZA,Juguetes y juegos,Muñecos y figuras de acción,https://www.amazon.es/sp?seller=AXJZDO42NTJON,B50977958,"Polígono Industrial las Norias, Calle Enrique Cock 21, MUEL, Zaragoza, 50450, ES",,,pendiente,alejandro@libertyseller.com
Rhino-Technical,"Telecomunicaciones Animadas, S.COOP. AND.",201940.79,,952373951.0,,rma@tiendacpu.com,MÁLAGA,Electrónica,Tablets,https://www.amazon.es/sp?seller=AT9FEQBICN183,F92395383,"Calle Manuel Franco Cubeiro Nº24 Pol Ind El Pinillo, Torremolinos, Málaga, 29620, ES",,,pendiente,alejandro@libertyseller.com
Agropinsos Andreu,"Agro-pinsos Andreu, S.L.",193329.84,,+34679353103,ANDREU SUGRAÑES FRANCISCO (Administrador solidario); ANDREU SUGRAÑES JORDI (Administrador solidario); ANDREU ISERN JOSE (Administrador solidario),info@multimascota.com,TARRAGONA,Productos para mascotas,Protecciones contra insectos,https://www.amazon.es/sp?seller=AXJ8S7ZA0I08A,B43368901,"Calle Faio nº 2, Reus, Tarragona, 43204, ES",,,pendiente,alejandro@libertyseller.com
Baterias Volta,Baterias Volta SL,189078.13,,+34665941697,YUBERO JUBERIAS MIGUEL (Administrador solidario); SERRANO SABOYA YAGO (Administrador solidario),import@bateriasvolta.es,MADRID,Coche y moto,Baterías de coche,https://www.amazon.es/sp?seller=A31HZNR7KC3HTD,B86977774,"Calle Honduras, 3, nave 10, Alcalá de Henares, Madrid, 28806, ES",,,pendiente,alejandro@libertyseller.com
TielON – Electrodom. Grandes a pie de calle.,Nediventa Online S.L.,184963.13,,+34 654 96 05 87,GIMENO HERRERA JOAQUIN JOSE (Administrador único),jonmikelparrilla@gmail.com,MADRID,Grandes electrodomésticos,Lavavajillas tamaño estándar,https://www.amazon.es/sp?seller=A458YT6N7W3H4,B88402128,"Calle Júpiter 16, despacho 3, Villanueva del Pardillo, Madrid, 28229, ES",,,pendiente,alejandro@libertyseller.com
Smile Ecommerce,PHARMACARE 2020 SL,179891.82,,+34672739729,ANTONIO BALLESTEROS GOMEZ (Apoderado); ENRIQUE JORGE MONLLOR (Administrador único); MANUEL FRANCISCO MUÑOZ GARCIA DE LAS BAYONAS (Administrador único); SISTEMAS WRITER 400 SL (Socio único),javier.cano@farmacex.es,MURCIA,Belleza,Sérums faciales,https://www.amazon.es/sp?seller=AOVLMCVFF3XAT,B05525126,"Avenida Antonete Gálvez 1, 4C, Murcia, Murcia, 30006, ES",,,pendiente,alejandro@libertyseller.com
BULLASTEC,"BULLASTEC, S.L.",167578.88,,+34 620 35 87 16,JUAN MANUEL LOPEZ JIMENEZ (Administrador solidario); JOSE GEA GARCIA (Administrador solidario),bullastec@infosolu.es,ESPAÑA,Electrónica,Móviles y smartphones libres,https://www.amazon.es/sp?seller=ASD1J40JXWTYX,ESB73975112,"Calle Raimundo Muñoz, 26 Bajo, Bullas, Murcia, 30180, ES",,,pendiente,alejandro@libertyseller.com
ATELPO-com,BACK TO SELL S.L,164209.72,,+34 621329022,sin cargos relevantes,oriolabad@backtosell.com,BARCELONA,Electrónica,Smartwatches,https://www.amazon.es/sp?seller=A12N6WGOB2YYQ8,B44739522,"Plaza Once de Setiembre 13 1º, Granollers, Barcelona, 08402, ES",,,pendiente,alejandro@libertyseller.com
NARVI,N V TORRENTE SL,162882.39,,+34661564739,TORRENTE TERUEL NARCISO (Administrador único); TORRENTE MONCHOLI MARIA CARMEN YOLANDA (Administrador único); TORRENTE TERUEL VICENTE (Administrador solidario); TORRENTE TERRADEZ VICENTE JAVIER (Administrador solidario),mariajose.miota@narvi.es,ESPAÑA,Hogar y cocina,Ventiladores de techo,https://www.amazon.es/sp?seller=A1KE1PQ9Q5SEBI,B96008560,"CTRA MASIA DEL JUEZ KM NUM 2200, TORRENT, VALENCIA, 46900, ES",,,pendiente,alejandro@libertyseller.com
Techno Sun,TECHNO SUN SLU,156708.7,,+34629011664,RAMOS SANCHEZ ANTONIO (Apoderado); RAMOS SANCHEZ PAULA (Apoderado); RAMOS BENEYTO ANTONIO (Administrador único),toni@technosun.com,VALENCIA,"Industria, empresas y ciencia",Controladores MPPT para energía solar y eólica,https://www.amazon.es/sp?seller=A294UBBKTCVLR,B46295606,"Calle Villa de Madrid 32, FUENTE DEL JARRO, CIF B46295606, PATERNA, VALENCIA, 46988, ES",,,pendiente,alejandro@libertyseller.com
Pennguin-ES-Home,PENNGUIN ECOMMERCE ESPAÑA SL,152097.09,,+491623196209,KOCH MORENO CHRISTIAN (Apoderado); VON CARSTENN-LICHTERFELDE MENENDEZ FERNANDO. (Apoderado); DE RON MARTINEZ ISABEL (Apoderado); PAUL GRAHAM MARTIN. (Apoderado solidario); PENNGUIN LIMITED (Socio único),amazon-rkb@pennguin.es,MADRID,Salud y cuidado personal,Lavavajillas,https://www.amazon.es/sp?seller=A1DGKDDPN9AM4J,B72692809,"CALLE GUZMAN EL BUENO, NUM 133, PLANTA 4, MADRID, Madrid, 28003, ES",,,pendiente,alejandro@libertyseller.com
TiendaCPU,CPU GLOBAL SALES SL,148955.93,,+34605383202,GOMEZ DOMINGUEZ PABLO (Administrador solidario); RODRIGUEZ DEL PINO JUAN (Administrador solidario),jantonio@tiendacpu.com,ESPAÑA,Electrónica,Consolas PlayStation 5,https://www.amazon.es/sp?seller=A3GUFLTOAAE00V,ESB93491173,"Calle Manuel Franco Cubeiro, 15, TORREMOLINOS, ESPAÑA, 29620, ES",,,pendiente,alejandro@libertyseller.com
✅ Cia&Co ✔️,PREMIUM GLOBAL SELLERS S.L.,146062.1,,+34 644 74 18 41,,amz@pgsellers.com,BIZKAIA,Alimentación y Bebidas,Cápsulas de café,https://www.amazon.es/sp?seller=A2A03ZXCDIXABB,B01823210,"Polígono Industrial Atxukarro 13 B2, ARRIGORRIAGA, BIZKAIA, 48480, ES",,,pendiente,alejandro@libertyseller.com
CPA Market,PALMAR LOGISTICA SL,141187.57,,+34660479393,PALOMAR MARTINEZ ALICIA (Administrador único); VAZQUEZ CASTRO JAVIER (Administrador único),pedidos@complementosparaaves.com,TOLEDO,Productos para mascotas,Papel higiénico,https://www.amazon.es/sp?seller=A27H2A5D6RPH1N,B45805884,"calle diamante n8, Nambroca, toledo, 45190, ES",,,pendiente,alejandro@libertyseller.com
mascotitas a casa,LA BOTICA DEL PELUDO,135636.83,,+34674964909,,letiveterinariaconsultas@gmail.com,ESPAÑA,Productos para mascotas,Comida seca para perros,https://www.amazon.es/sp?seller=A10B25UHCFLKNT,E47805650,"SAN JUAN, 9, MEDINA DE RIOSECO, ESPAÑA, 47800, ES",,,pendiente,alejandro@libertyseller.com
MarkJV Shop,MARK JOINT VENTURE SL,132909.47,,+34 965 31 31 31,MOLINES ALMIRON RICARDO (Administrador único); TORREGROSA SERRA RAFAEL JULIO (Administrador único),ventas@markjvshop.com,ALICANTE,Hogar y cocina,Juegos de maletas,https://www.amazon.es/sp?seller=A276DRMVM38WPF,B42616672,"AVDA RODALET 2 PLANTA BJ, PUERTA A, NAVE, SAN VICENTE DEL RASPEIG, Alicante, 03690, ES",,,pendiente,alejandro@libertyseller.com
copure.shop,"EUROCASA SUMINISTROS, S.L.",130314.8,,+34612515007,RODRIGUEZ SANCHEZ OSCAR (Apoderado solidario); VILANOVA URDANIZ FERNANDO JESUS. (Apoderado solidario); RODRIGUEZ SANCHEZ OSCAR. (Apoderado solidario); ESTRADA DE LA CRUZ JULIA. (Apoderado); PAVIMENTOS Y REVESTIMIENTOS EUROCASA SL (Administrador único); PASTOR HERNANDEZ ALEJANDRO ANTONIO. (Administrador único); CANDELA CANDELA FERNANDO JOSE (Administrador solidario),marketing.comunicacion@eurocasa.es,ALICANTE,Bricolaje y herramientas,Calentadores de agua por gas,https://www.amazon.es/sp?seller=A3VC2WPAA8UOCR,B42546002,"AVDA NEPTUNO, NUM. 5, ALICANTE, ALICANTE, 03007, ES",,,pendiente,alejandro@libertyseller.com
SIMPLIFICA TU COMPRA STC,SIMPLIFICA TU COMPRA SL,125111.09,,+34638299458,sin cargos relevantes,diego@simplificatucompra.com,PALENCIA - ESPAÑA,Alimentación y Bebidas,Bolsas de alimento para gatos,https://www.amazon.es/sp?seller=ASZZ98MUS538E,BB72501620,"CTRA NACIONAL 611 KM 3,5 P-3, VILLAMURIEL DE CERRATO, PALENCIA - ESPAÑA, 34190, ES",,,pendiente,alejandro@libertyseller.com
Bricotrail,OKORU GLOBAL S.L.U.,124319.4,,+34 649 88 18 94,INTERSAE INNOVA SA (Socio único); BARQUIN RODRIGUEZ SERGIO (Administrador mancomunado); GASPAR GOMEZ GONZALO JOSE (Administrador mancomunado); BERNARD FERNANDEZ BENJAMIN (Administrador único); HFC PERSPECTIVA EMPRESARIAL SLP (Administrador único),online@okoru.es,ESPAÑA,Jardín,Cobertizos de almacenamiento,https://www.amazon.es/sp?seller=A106T56FURBUQ4,B39856455,"Polígono Industrial Barros nº29, Barros, España, 39408, ES",,,pendiente,alejandro@libertyseller.com
Tech by Design,Rodolfo Biber S.A.,124043.21,,+34673610650,GONZALEZ RUBIO ANGEL EUGENIO (Apoderado); BIBER DAGMAR (Apoderado); TELLA PARRAMON MANUEL (Apoderado); BIBER ELISABETH (Consejero),pedidos@robisa.es,MADRID,Electrónica,Cámaras compactas digitales,https://www.amazon.es/sp?seller=AV8XO0COERESO,A28250801,"Calle Salcedo, 8, Madrid, Madrid, 28034, ES",,,pendiente,alejandro@libertyseller.com
Rasmacor✅,FMD Rasmacor S.L,120392.38,,+34608060588,RASCON MUÑIZ FRANCISCO PAULA. (Administrador solidario); RASCON MUÑIZ FRANCISCO PAULA (Administrador solidario); RASCON CASTRO DANIEL (Administrador solidario); RASCON CASTRO MANUEL (Administrador solidario),fmdrasmacor@gmail.com,ESPAÑA,Salud y cuidado personal,Protectores de sobretensión,https://www.amazon.es/sp?seller=A94KBWWUIM4HC,B02673796,"C/Diego Valverde 252 Nave6, CORDOBA, Córdoba, 14014, ES",,,pendiente,alejandro@libertyseller.com
MOBELCENTER (Envíos sólo España Peninsular),"R.C.SAYEZ MOBILIARI,S.L.",115387.23,,+34937299840,PARES CASTELLVI JOSE ANTONIO (Apoderado); PARES COROMINAS JOSE. (Apoderado); CORBERA TAMAYO IGNACIO RAMON. (Administrador único); PARES CASTELLVI MARIA MAR. (Administrador único); CORBERA TAMAYO IGNACIO RAMON (Administrador),amazon@mobelcenter.es,BARCELONA,Hogar y cocina,Armarios de dormitorio,https://www.amazon.es/sp?seller=A2WHOGJLVHNRX2,B61641171,"Ronda Santa Maria 256 MOBLES SAYEZ, B61641171, Barberà del Vallès, Barcelona, 08210, ES",,,pendiente,alejandro@libertyseller.com
KMINA,IMPROVING MOBILITY DEVELOPMENT SL,111885.27,,+34 626 34 02 07,VAÑO NAVARRO ALEJANDRO. (Apoderado); PEREZ MARTINEZ DARIO (Apoderado); VAÑO NAVARRO ALEJANDRO (Apoderado); MAÑERO LOJENDIO IGNACIO (Administrador único),info@kmina.es,ESPAÑA,Salud y cuidado personal,Muletas en suministros y equipo médicos,https://www.amazon.es/sp?seller=A1FBMOTJ3DZBFD,B87491957,"Avenida Mare Nostrum 1, Bº 1, Pª 16, Alboraya, Valencia, España, 46120, ES",,,pendiente,alejandro@libertyseller.com
TIENDA EURASIA,Eurasia Inter SL,110102.19,,+34 688 18 89 98,LIU XUERONG (Apoderado); LIU XU HUI QUN (Administrador único),info@eurasia-inter.es,MADRID,Hogar y cocina,Sillas plegables de tela para exterior,https://www.amazon.es/sp?seller=A3GAMOF582JQBV,B88023759,"Industrias, 8C, Alcorcón, Madrid, 28923, ES",,,pendiente,alejandro@libertyseller.com
Roselle Tienda,Roselle Trade S.L,104388.13,,+34642535916,,traderoselle@gmail.com,CASTELLON,Salud y cuidado personal,Toallitas húmedas para bebé,https://www.amazon.es/sp?seller=A3KMJ8OAZXIQ3J,B22773758,"Calle San Francisco, 273, Vinaros, Castellon, 12500, ES",,,pendiente,alejandro@libertyseller.com
